,days_since,year,num_claims,sqrt_claims,topics,ncites,sqrt_ncites,xi
6188,1176,2004,33,5.744562646538029,"coat, polym",1.0,1.0,1.4105700380870176
6189,1183,2004,10,3.1622776601683795,"coat, polym",3.0,1.7320508075688772,0.8467909902902757
6191,1183,2004,17,4.123105625617661,"coat, polym",1.0,1.0,1.6764834188617725
6192,1183,2004,8,2.8284271247461903,"coat, polym",2.0,1.4142135623730951,-2.341633939003192
6194,1183,2004,49,7.0,"coat, polym",18.0,4.242640687119285,0.2736381583819584
6195,1183,2004,13,3.605551275463989,"coat, polym",5.0,2.23606797749979,1.87923427751649
6200,1190,2004,8,2.8284271247461903,"coat, polym",0.0,0.0,-5.391387659256501
6207,1204,2004,27,5.196152422706632,"coat, polym",1.0,1.0,1.9021267847390908
6208,1204,2004,4,2.0,"coat, polym",4.0,2.0,-4.855123218426286
6210,1204,2004,26,5.0990195135927845,"coat, polym",2.0,1.4142135623730951,5.566279991532675
6211,1204,2004,12,3.4641016151377544,"coat, polym",4.0,2.0,2.2042858120606383
6212,1211,2004,25,5.0,"coat, polym",6.0,2.449489742783178,3.532942394070636
6213,1211,2004,34,5.830951894845301,"coat, polym",6.0,2.449489742783178,-1.1112740560554977
6214,1211,2004,33,5.744562646538029,"coat, polym",1.0,1.0,2.876016658013947
6224,1225,2004,16,4.0,"coat, polym",1.0,1.0,-2.6979199680417256
6225,1225,2004,12,3.4641016151377544,"coat, polym",0.0,0.0,0.8398565828508197
6231,1232,2004,24,4.898979485566356,"coat, polym",0.0,0.0,-4.105929997659172
6233,1239,2004,18,4.242640687119285,"coat, polym",0.0,0.0,1.673186419654208
6235,1239,2004,28,5.291502622129181,"coat, polym",0.0,0.0,3.9991178381535923
6245,1253,2005,38,6.164414002968976,"coat, polym",5.0,2.23606797749979,1.1263304608282918
6246,1260,2005,9,3.0,"coat, polym",1.0,1.0,0.47188166102532614
6248,1260,2005,64,8.0,"coat, polym",15.0,3.872983346207417,0.23449012482119996
6255,1274,2005,16,4.0,"coat, polym",0.0,0.0,4.637418692143884
6257,1274,2005,6,2.449489742783178,"coat, polym",0.0,0.0,-1.307761064645677
6258,1274,2005,51,7.14142842854285,"coat, polym",11.0,3.3166247903554,1.7437987768163512
6259,1274,2005,11,3.3166247903554,"coat, polym",9.0,3.0,3.27561747249085
6270,1309,2005,13,3.605551275463989,"coat, polym",2.0,1.4142135623730951,2.4972758410946
6273,1316,2005,15,3.872983346207417,"coat, polym",17.0,4.123105625617661,4.751383982297847
6278,1323,2005,24,4.898979485566356,"coat, polym",0.0,0.0,-3.1120044154579003
6279,1323,2005,43,6.557438524302,"coat, polym",2.0,1.4142135623730951,0.32991871910845005
6280,1323,2005,8,2.8284271247461903,"coat, polym",2.0,1.4142135623730951,-2.3942067225553685
6284,1330,2005,6,2.449489742783178,"coat, polym",7.0,2.6457513110645907,-2.646821482887708
6285,1330,2005,15,3.872983346207417,"coat, polym",3.0,1.7320508075688772,-2.224616084207812
6289,1344,2005,23,4.795831523312719,"coat, polym",7.0,2.6457513110645907,3.121713222380094
6290,1344,2005,10,3.1622776601683795,"coat, polym",0.0,0.0,-2.454795411870979
6291,1344,2005,5,2.23606797749979,"coat, polym",2.0,1.4142135623730951,-2.454795411870979
6295,1351,2005,6,2.449489742783178,"coat, polym",0.0,0.0,-2.2888000240978106
6298,1351,2005,43,6.557438524302,"coat, polym",0.0,0.0,-1.994643328337659
6299,1351,2005,23,4.795831523312719,"coat, polym",2.0,1.4142135623730951,-1.0668574417807937
